paper,publication date (first revision),link,model family,model,param count,notes,
"T. Tang, W. Luo, H. Huang, D. Zhang, X. Wang, X. Zhao, F. Wei, and J.-R. Wen. Language-specific neurons:
The key to multilingual capabilities in large language models.",2024-02-26,https://arxiv.org/abs/2402.16438,,Llama-2,70000000000,"LLama-2 (70E10), llama-2 (7E9), llama-2 (1.3E10), BLOOM (7E9), OPT (6.7E9) Mistral (7E9), Phi-2 (2.7E9)",
"A. Gupta, D. Sajnani, and G. Anumanchipalli. A unified framework for model editing.",2024-03-21,https://arxiv.org/abs/2403.14236,,llama-2,7000000000,also studied gpt2-xl 1.5b and gpt-j 6b,
"A. Lv, K. Zhang, Y. Chen, Y. Wang, L. Liu, J.-R. Wen, J. Xie, and R. Yan. Interpreting key mechanisms of
factual recall in transformer-based language models.",2024-03-28,https://arxiv.org/abs/2403.19521,,Llama-2,7000000000,also studied all size of gpt-2 and 1.3b OPT,
"A. Variengien and E. Winsor. Look before you leap: A universal emergent decomposition of retrieval tasks in
language models.",2023-12-13,https://arxiv.org/abs/2312.10091,,llama-2 ,70000000000,"also studied gpt-2, pythia, falcon and llama-2 in all available sizes",
"A. Madsen, S. Chandar, and S. Reddy. Are self-explanations from large language models faithful? ArXiv,
abs/2401.07927.",2024-01-15,https://arxiv.org/abs/2401.07927,,llama-2 ,70000000000,"also studied Llama2 (7B), Falcon (40B, 7B),
and Mistral (7B)",
"Y. Kwon, E. Wu, K. Wu, and J. Zou. Datainf: Efficiently estimating data influence in loRA-tuned LLMs
and diffusion models.",2023-10-02,https://arxiv.org/abs/2310.00902,,Llama-2-13B,13000000000,"RoBERTa-large, Llama-2-13B-chat, stable-diffusion-v-1.5",
S. Marks and M. Tegmark. The geometry of truth: Emergent linear structure in large language model representations of true/false datasets.,2023-10-10,https://arxiv.org/abs/2310.06824,,LLama-2-70B,70000000000,Used both llama-2-13B and llama-2-70B,
"Y. Jiang, G. Rajendran, P. Ravikumar, B. Aragam, and V. Veitch. On the origins of linear representations in
large language models",2024-03-06,https://arxiv.org/abs/2403.03867,,llama-2-7B,7000000000,,
"A. Zou, L. Phan, S. Chen, J. Campbell, P. Guo, R. Ren, A. Pan, X. Yin, M. Mazeika, A.-K. Dombrowski,
S. Goel, N. Li, M. J. Byun, Z. Wang, A. Mallen, S. Basart, S. Koyejo, D. Song, M. Fredrikson, J. Z. Kolter,
and D. Hendrycks. Representation engineering: A top-down approach to ai transparency.",2023-10-2,https://arxiv.org/abs/2310.01405,,llama-2-chat,70000000000,,
"A. M. Turner, L. Thiergart, D. Udell, G. Leech, U. Mini, and M. MacDiarmid. Activation addition: Steering
language models without optimization.",2023-08-20,https://arxiv.org/abs/2308.10248,,llama-3,8000000000,"also studied OPT, GPT-2-xl 1.5b , and GPT-J",
"Y.-S. Chuang, Y. Xie, H. Luo, Y. Kim, J. R. Glass, and P. He. Dola: Decoding by contrasting layers improves
factuality in large language models. ",2023-09-07,https://arxiv.org/abs/2309.03883,,llama-65B,65000000000,"llama-7B, llama-13B, llama-33B, llama-65B. 65B used for only one figure",
"Z. Yu and S. Ananiadou. Locating factual knowledge in large language models: Exploring the residual stream
and analyzing subvalues in vocabulary space.",2023-12-19,https://arxiv.org/abs/2312.12141,,llama-7B,7000000000,"GPT2-L, llama-7B",
"G. Xiao, Y. Tian, B. Chen, S. Han, and M. Lewis. Efficient streaming language models with attention sinks.
Arxiv.",2023-09-29,https://arxiv.org/abs/2309.17453,,llama2,70000000000,"Llama-2-[7,13,70]B, Falcon-[7,40]B, Pythia-[2.8,6.9,12]B, and MPT-[7,30]B",
"G. Monea, M. Peyrard, M. Josifoski, V. Chaudhary, J. Eisner, E. Kıcıman, H. Palangi, B. Patra, and R. West.
A glitch in the matrix? locating and detecting language model grounding with fakepedia.",2023-12-04,https://arxiv.org/abs/2312.02073,,llama2,70000000000,"but also not mechanistic interpretability as they evaluate on closed models, too",
"J.-C. Gu, H. Xu, J.-Y. Ma, P. Lu, Z.-H. Ling, K. wei Chang, and N. Peng. Model editing can hurt general
abilities of large language models. ",2024-01-09,https://arxiv.org/abs/2401.04700,,llama2,7000000000,gpt2-xl,
"J. Huang, Z. Wu, C. Potts, M. Geva, and A. Geiger. Ravel: Evaluating interpretability methods on disentangling
language model representations.",2024-02-27,https://arxiv.org/abs/2402.17700,,llama2,7000000000,,
"H. Chen, C. Vondrick, and C. Mao. Selfie: Self-interpretation of large language model embeddings.",2024-03-16,https://arxiv.org/abs/2403.10949,,llama2,70000000000,,
"S. Singh, S. Ravfogel, J. Herzig, R. Aharoni, R. Cotterell, and P. Kumaraguru. Mimic: Minimally modified
counterfactuals in the representation space.",2024-02-15,https://arxiv.org/abs/2402.09631,,LLama2-7b,7000000000,steering method,
"J. Ferrando, G. I. Gállego, B. Alastruey, C. Escolano, and M. R. Costa-jussà. Towards opening the black
box of neural machine translation: Source and target interpretations of the transformer.",2022-05-23,https://arxiv.org/abs/2205.11631,,M2M,418000000,,
"G. Sarti, G. Chrupała, M. Nissim, and A. Bisazza. Quantifying the plausibility of context reliance in neural
machine translation. ",2023-10-02,https://arxiv.org/abs/2310.01188,,MBART,680000000,,
"K. Amara, R. Sevastjanova, and M. El-Assady. Syntaxshap: Syntax-aware explainability method for text
generation.",2024-02-14,https://arxiv.org/abs/2402.09259,,mistral,7000000000,gpt2-medium,
"E. Akyurek, T. Bolukbasi, F. Liu, B. Xiong, I. Tenney, J. Andreas, and K. Guu. Towards tracing knowledge
in language models back to the training data. ",2022-05-23,https://arxiv.org/abs/2205.11482,,mt5,580000000,,
"B.-D. Oh and W. Schuler. Token-wise decomposition of autoregressive language model hidden states for
analyzing model predictions. ",2023-05-17,https://arxiv.org/abs/2305.10614,,opt,125000000,,
"E. Voita, J. Ferrando, and C. Nalmpantis. Neurons in large language models: Dead, n-gram, positional.",2023-09-09,https://arxiv.org/abs/2309.04827,,OPT,66000000000,studies across all OPT sizes; smallest is 125M,
"X. L. Li, A. Holtzman, D. Fried, P. Liang, J. Eisner, T. Hashimoto, L. Zettlemoyer, and M. Lewis. Contrastive
decoding: Open-ended text generation as optimization.",2022-10-27,https://arxiv.org/abs/2210.15097,,OPT-13B,13000000000,"OPT13-13B, OPT-125M",
Z. Zhao and B. Shan. Reagent: A model-agnostic feature attribution method for generative language models.,2024-02-01,https://arxiv.org/abs/2402.00794,,OPT-6.7B,6700000000,"GPT-{354M,1.5B,6B}, OPT-{350M,1.3B,6.7B}",
"T. Dettmers, M. Lewis, Y. Belkada, and L. Zettlemoyer. Gpt3.int8(): 8-bit matrix multiplication for transformers at scale.",2022-08-15,https://arxiv.org/abs/2208.07339,,OPT175B,175000000000,sort of cheating because this is the tim dettmers LLM.int8() paper where the whole point was that it was possible to quantize big models,
J. Ferrando and E. Voita. Information flow routes: Automatically interpreting language models at scale. ,2024-02-27,https://arxiv.org/abs/2403.00824,opt-2,OPT2-small,125000000,and gpt2-small,
"H. Cunningham, A. Ewart, L. Riggs, R. Huben, and L. Sharkey. Sparse autoencoders find highly interpretable
features in language models.",2023-09-15,https://arxiv.org/abs/2309.08600,,pythia,410000000,and 110M,
"A. Arora, D. Jurafsky, and C. Potts. Causalgym: Benchmarking causal interpretability methods on linguistic
tasks.",2024-02-19,https://arxiv.org/abs/2402.12560,,pythia,6900000000,14M-6.9B,
C. Rushing and N. Nanda. Explorations of self-repair in language models.,2024-02-23,https://arxiv.org/abs/2402.15390,pythia,pythia,160000000,,
"J. Kramár, T. Lieberum, R. Shah, and N. Nanda. Atp*: An efficient and scalable method for localizing llm
behaviour to components.",2024-03-01,https://arxiv.org/abs/2403.00745,,Pythia,12000000000,,
"S. Marks, C. Rager, E. J. Michaud, Y. Belinkov, D. Bau, and A. Mueller. Sparse feature circuits: Discovering and editing interpretable causal graphs in language models.",2024-03-28,https://arxiv.org/abs/2403.19647,pythia,Pythia-70M,70000000,trained an SAE on pythia-70M activations,
B. Wright and L. Sharkey. Addressing feature suppression in saes.,2024-02-16,https://www.alignmentforum.org/posts/3JuSjTZyMzaSeTxKk/addressing-feature-suppression-in-saes,pythia,pythia-70m,70000000,,
"W. Gurnee, N. Nanda, M. Pauly, K. Harvey, D. Troitskii, and D. Bertsimas. Finding neurons in a haystack:
Case studies with sparse probing.",2023-05-02,https://arxiv.org/abs/2305.01610,,Pythia-7B,6900000000,,
"Y. Tian, Y. Wang, Z. Zhang, B. Chen, and S. S. Du. JoMA: Demystifying multilayer transformers via joint
dynamics of MLP and attention.",2023-10-01,https://arxiv.org/abs/2310.00535,,Pythia-7B,7000000000,"OPT-2.7B, pythia-70M, pythia-1.4B, pythia-7B",
"A. Arditi, O. Balcells, A. Syed, W. Gurnee, and N. Nanda. Refusal in llms is mediated by a single direction.",2024-06-17,https://arxiv.org/abs/2406.11717,,qwen chat,72000000000,"Qwen chat 1.8B, 7B, 14B, 72B
Gemma instruction-tuned 2B, 7B
Yi chat 6B, 34B
Llama-3 instruct 8B, 70B",
"S. Yang, S. Huang, W. Zou, J. Zhang, X. Dai, and J. Chen. Local interpretation of transformer based on linear
decomposition.",2023-07-09,https://aclanthology.org/2023.acl-long.572,,RoBERTa,354000000,math paper but they used roberta for experiments,
S. Sanyal and X. Ren. Discretized integrated gradients for explaining language models. ,2021-08-31,https://arxiv.org/abs/2108.13654,,RoBERTa,354000000,"they use BERT (3.4E8) DistilBERT (6.6E7), and RoBERTa (3.54E8)",
"Z. Luo, A. Kulmizev, and X. Mao. Positional artefacts propagate through masked language model embeddings.
",2020-11-09,https://arxiv.org/abs/2011.04393,,roberta-base,125000000,"BERT-base, RoBERTa-base",
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Incorporating Residual and Normalization Layers into
Analysis of Masked Language Models.",2021-09-15,https://arxiv.org/abs/2109.07152,,roberta-base,125000000,bert-base 110M,
"G. Puccetti, A. Rogers, A. Drozd, and F. Dell’Orletta. Outlier dimensions that disrupt transformers are driven by
frequency. ",2022-05-23,https://arxiv.org/abs/2205.11380,,roberta-base,125000000,bert-base 110M,
"X. Wang, K. Wen, Z. Zhang, L. Hou, Z. Liu, and J. Li. Finding skill neurons in pre-trained transformer-based
language models. ",2022-11-14,https://arxiv.org/abs/2211.07349,,RoBERTa-base,125000000,,
"H. Mohebbi, W. Zuidema, G. Chrupała, and A. Alishahi. Quantifying context mixing in transformers.",2023-01-30,https://arxiv.org/abs/2301.12971,,roberta-base,125000000,"bert-base, electra-base (110M)",
"A. Modarressi, M. Fayyaz, E. Aghazadeh, Y. Yaghoobzadeh, and M. T. Pilehvar. DecompX: Explaining transformers decisions by propagating token decomposition.",2023-06-05,https://arxiv.org/abs/2306.02873,,roberta-base-uncased,125000000,also studied bert-base-uncased 110m,
"G. Paulo, T. Marshall, and N. Belrose. Does transformer interpretability transfer to rnns?",2024-04-09,https://arxiv.org/abs/2404.05971,,RWKV v5,7000000000,also incl. 2.7B models,
"C. Burns, H. Ye, D. Klein, and J. Steinhardt. Discovering latent knowledge in language models without supervision. In The Eleventh International Conference on Learning Representations.",2022-12-07,https://arxiv.org/abs/2212.03827,,t5,11000000000,"UnifiedQA, T0, GPT-J, RoBERTa, DeBERTa",
"E. Mitchell, C. Lin, A. Bosselut, C. D. Manning, and C. Finn. Memory-based model editing at scale. ",2022-06-13,https://arxiv.org/abs/2206.06520,,T5 large,770000000,"BERT-base (110M), BlenderBot-90M",
"W. Merrill, V. Ramanujan, Y. Goldberg, R. Schwartz, and N. A. Smith. Effects of parameter norm growth
during transformer training: Inductive bias from gradient descent. ",2020-10-19,https://arxiv.org/abs/2010.09697,,T5-base,220000000,,
"E. Mitchell, C. Lin, A. Bosselut, C. Finn, and C. D. Manning. Fast model editing at scale.",2021-10-21,https://arxiv.org/abs/2110.11309,,T5-XXL ,11000000000,"T5-XL (2.8B), GPT-J (6B), GPT-Neo (2.7B), BERT-base (110M), BART-base (139M), distilGPT-2 (82M)",
"N. Varshney, W. Yao, H. Zhang, J. Chen, and D. Yu. A stitch in time saves nine: Detecting and mitigating
hallucinations of llms by validating low-confidence generation.",2023-07-08,https://arxiv.org/abs/2307.03987,vicuna,vicuna-13b,13000000000,"gpt 3.5, vicuna-13B",
C. Fierro and A. Søgaard. Factual consistency of multilingual pretrained language models. ,2022-03-22,https://arxiv.org/abs/2203.11552,,XLM-RoBERTa,550000000,,
"N. Durrani, F. Dalvi, and H. Sajjad. Discovering salient neurons in deep nlp models. ",2022-06-27,https://arxiv.org/abs/2206.13288,,xlm-roberta,550000000,"BERT, ROBERTA and XLNET",
"W. Wu, Y. Wang, G. Xiao, H. Peng, and Y. Fu. Retrieval head mechanistically explains long-context factuality.",2024-04-24,https://arxiv.org/abs/2404.15574,,Yi-34B,34000000000,"llama2-7b, llama2-13B, mistral-7B, mixtral-8x7B, Yi-6B, Yi-34B, Qwen1.5-14B",
"N. F. Liu, M. Gardner, Y. Belinkov, M. E. Peters, and N. A. Smith. Linguistic knowledge and transferability of contextual representations. ",2019-03-21,https://arxiv.org/abs/1903.08855,,,340000000,"BERT (based, large) ELMO, gpt2",
"P. Michel, O. Levy, and G. Neubig. Are sixteen heads really better than one? ",2019-05-25,https://arxiv.org/abs/1905.10650,,,110000000,BERT,
"O. Kovaleva, A. Romanov, A. Rogers, and A. Rumshisky. Revealing the dark secrets of BERT. ",2019-08-21,https://arxiv.org/abs/1908.08593,,,110000000,BERT,
"P. M. Htut, J. Phang, S. Bordia, and S. R. Bowman. Do attention heads in bert track syntactic dependencies?",2019-11-27,https://arxiv.org/abs/1911.12246,,,110000000,"BERT, Roborta",
"N. De Cao, M. S. Schlichtkrull, W. Aziz, and I. Titov. How do decisions emerge across layers in neural models?
interpretation with differentiable masking. ",2020-04-30,https://arxiv.org/abs/2004.14992,,,340000000,"BERT-based, BERTLarge",
"P. Atanasova, J. G. Simonsen, C. Lioma, and I. Augenstein. A diagnostic study of explainability techniques
for text classification.",2020-09-25,https://arxiv.org/abs/2009.13295,,,110000000,"CNN, BERT, Transformer, LSTM",
"M. Geva, R. Schuster, J. Berant, and O. Levy. Transformer feed-forward layers are key-value memories. ",2020-12-29,https://arxiv.org/abs/2012.14913,,,247000000,Adaptive inputs model https://openreview.net/pdf?id=ByxZX20qFQ,
"R. Nogueira, Z. Jiang, and J. Lin. Investigating the limitations of transformers with simple arithmetic tasks,
2021.",2021-02-25,https://arxiv.org/abs/2102.13019,,,770000000,T5 modles (except 11B),
"O. Kovaleva, S. Kulshreshtha, A. Rogers, and A. Rumshisky. BERT busters: Outlier dimensions that disrupt
transformers.",2021-05-14,https://arxiv.org/abs/2105.06990,,,770000000,"ELECTRA, XLNet, BART, GPT2",
"P. Pezeshkpour, S. Jain, S. Singh, and B. Wallace. Combining feature and instance attribution to detect artifacts.
",2021-07-01,https://arxiv.org/abs/2107.00323,,,110000000,BERT,
K. Yin and G. Neubig. Interpreting language models with contrastive explanations. ,2022-02-21,https://arxiv.org/abs/2202.10419,,,2700000000,GPT-2 (1.5B parameters) and GPT-Neo (2.7 B),
"M. Geva, A. Caciularu, K. Wang, and Y. Goldberg. Transformer feed-forward layers build predictions by
promoting concepts in the vocabulary space. ",2022-03-28,https://arxiv.org/abs/2203.14680,,,124000000,WikiLM and GPT2-small,
"M. Geva, A. Caciularu, G. Dar, P. Roit, S. Sadde, M. Shlain, B. Tamir, and Y. Goldberg. LM-debugger: An interactive tool for inspection and intervention in transformer-based language models. ",2022-04-26,https://arxiv.org/abs/2204.12130,,,774000000,GPT2 (Medium and Large),
"M. Costa-jussà, E. Smith, C. Ropers, D. Licht, J. Maillard, J. Ferrando, and C. Escolano. Toxicity in
multilingual machine translation at scale.",2022-10-06,https://arxiv.org/abs/2210.03070,,,3300000000,NLLB-200 3.3B,
"K. R. Wang, A. Variengien, A. Conmy, B. Shlegeris, and J. Steinhardt. Interpretability in the wild: a circuit
for indirect object identification in GPT-2 small. ",2022-11-01,https://arxiv.org/abs/2211.00593,,,124000000,GPT-2 Small,
"P. Hase, M. Bansal, B. Kim, and A. Ghandeharioun. Does localization inform editing? surprising differences in
causality-based localization vs. knowledge editing in language models.",2023-01-10,https://arxiv.org/abs/2301.04213,,,6000000000,GPT-J,
"N. Belrose, Z. Furman, L. Smith, D. Halawi, I. Ostrovsky, L. McKinney, S. Biderman, and J. Steinhardt.
Eliciting latent predictions from transformers with the tuned lens.",2023-03-14,https://arxiv.org/abs/2303.08112,,,2700000000,GPT2-Neo-2.7B,
"N. Goldowsky-Dill, C. MacLeod, L. Sato, and A. Arora. Localizing model behavior with path patching.",2023-04-12,https://arxiv.org/abs/2304.05969,,,1500000000,"GPT-2 small, GPT2-XL",
"M. Geva, J. Bastings, K. Filippova, and A. Globerson. Dissecting recall of factual associations in autoregressive language models.",2023-04-28,https://arxiv.org/abs/2304.14767,,,6000000000,GPT-2 and GPTJ,
"M. Hanna, O. Liu, and A. Variengien. How does GPT-2 compute greater-than?: Interpreting mathematical
abilities in a pre-trained language model.",2023-04-30,https://arxiv.org/abs/2305.00586,,,124000000,GPT2-small,
R. Molina. Traveling words: A geometric interpretation of transformers.,2023-09-13,https://arxiv.org/abs/2309.07315,,,124000000,gpt2-small,
"M. Yuksekgonul, V. Chandrasekaran, E. Jones, S. Gunasekar, R. Naik, H. Palangi, E. Kamar, and B. Nushi.
Attention satisfies: A constraint-satisfaction lens on factual errors of language models. ",2023-09-26,https://arxiv.org/abs/2309.15098,,,70000000000,"LLama2-7B, LLama2-13B, LLama2-70B",
"Q. Yu, J. Merullo, and E. Pavlick. Characterizing mechanisms for factual recall in language models.",2023-10-24,https://arxiv.org/abs/2310.15910,,,1400000000,"pythia, gpt2",
"R. Hendel, M. Geva, and A. Globerson. In-context learning creates task vectors.",2023-10-24,https://arxiv.org/abs/2310.15916,,,30000000000,llama2 30B,
"M. Sakarvadia, A. Khan, A. Ajith, D. Grzenda, N. Hudson, A. Bauer, K. Chard, and I. Foster. Attention lens:
A tool for mechanistically interpreting the attention head information retrieval mechanism.",2023-10-25,https://arxiv.org/abs/2310.16270,,,124000000,GPT2-small,
"L. Quirke, L. Heindrich, W. Gurnee, and N. Nanda. Training dynamics of contextual n-grams in language
models.",2023-11-01,https://arxiv.org/abs/2311.00863,,,70000000,Pythia 70M,
"M. A. Lepori, T. Serre, and E. Pavlick. Uncovering intermediate variables in transformers using circuit probing.",2023-11-07,https://arxiv.org/abs/2311.04354,,,355000000,GPT2-Small and GPT2-Medium,
"R. Gould, E. Ong, G. Ogden, and A. Conmy. Successor heads: Recurring, interpretable attention heads in the
wild. ",2023-12-14,https://arxiv.org/abs/2312.09230,,,7000000000,"pythia 1.4b, gpt2xl, llama2 7b",
"P. Sharma, J. T. Ash, and D. Misra. The truth is in there: Improving reasoning with layer-selective rank
reduction. ",2023-12-21,https://arxiv.org/abs/2312.13558,,,7000000000,"roberta, gptj, llama2",
"S. CH-Wang, B. V. Durme, J. Eisner, and C. Kedzie. Do androids know they’re only dreaming of electric
sheep?.",2023-12-28,https://arxiv.org/abs/2312.17249v1,,,13000000000,llama2-13b,
"Q. Wang, T. Anikina, N. Feldhus, J. van Genabith, L. Hennig, and S. Möller. Llmcheckup: Conversational
examination of large language models via interpretability tools.",2024-01-23,https://arxiv.org/abs/2401.12576,,,70000000000,stable beluga 2-70B,
"N. Wichers, C. Denison, and A. Beirami. Gradient-based language model red teaming.",2024-01-30,https://arxiv.org/abs/2401.16656,,,2000000000,LaMDA,
"R. Achtibat, S. M. V. Hatefi, M. Dreyer, A. Jain, T. Wiegand, S. Lapuschkin, and W. Samek. AttnLRP:
Attention-aware layer-wise relevance propagation for transformers.",2024-02-08,https://arxiv.org/abs/2402.05602,,,7000000000,"llama-2-7b, mistral 7b",
"M. Avitan, R. Cotterell, Y. Goldberg, and S. Ravfogel. What changed? converting representational interventions
to natural language.",2024-02-17,https://arxiv.org/abs/2402.11355,,,7000000000,Mistral7b and GPT2,
"N. Prakash, T. R. Shaham, T. Haklay, Y. Belinkov, and D. Bau. Fine-tuning enhances existing mechanisms: A
case study on entity tracking. ",2024-02-22,https://arxiv.org/abs/2402.14811,,,7000000000,"LLama-7b, Vicuna 7B, Goat-7B, Float-7B",
"M. Sun, X. Chen, J. Z. Kolter, and Z. Liu. Massive activations in large language models.",2024-02-27,https://arxiv.org/abs/2402.17762,,,13000000000,"LLaMA2-7B, LLaMA2-13B, Phi2, Mistral-8x7B, CLIP ViT-L, DINOv2 ViT-L MAE ViT-L",
"S. Chen, M. Xiong, J. Liu, Z. Wu, T. Xiao, S. Gao, and J. He. In-context sharpness as alerts: An inner representation perspective for hallucination mitigation.",2024-03-03,https://arxiv.org/abs/2403.01548,,,70000000000,Llama-2 models (chat),
"N. Stoehr, M. Gordon, C. Zhang, and O. Lewis. Localizing paragraph memorization in language models.",2024-03-28,https://arxiv.org/abs/2403.19851,gpt-neo,,125000000,gpt-neo 125m,
"N. Y. Siegel, O.-M. Camburu, N. Heess, and M. Perez-Ortiz. The probabilities also matter: A more faithful
metric for faithfulness of free-text explanations in large language models.",2024-04-04,https://arxiv.org/abs/2404.03189,,,70000000000,Llama2-7b llama2-13b llama2-70b,
"Q. Liu, Y. Chai, S. Wang, Y. Sun, K. Wang, and H. Wu. On training data influence of gpt models. ",2024-04-11,https://arxiv.org/abs/2404.07840,,,2800000000,Pythia (range of sizes),
S. Heimersheim and A. Turner. Residual stream norms grow exponentially over the forward pass.,2023-05-06,https://www.alignmentforum.org/posts/8mizBCm3dyc432nK8/residual-stream-norms-grow-exponentially-over-the-forward,,,1500000000,"gpt2-small, gpt2-xl",
nostalgebraist. Interpreting GPT: the logit lens.,2020-08-30,https://www.alignmentforum.org/posts/AcKRB8wDpdaN6v6ru/interpreting-gpt-the-logit-lens,,,125000000,Gpt2,